Figure10: Hourly average vertical profiles of Al+, AlO and AlOH (cm-3) for 54N,12E during April.
Averaged over 2004-2014 from hourly WACCM-Al model output
 Time (hour), Altitude (km),Al+,AlO,AlOH (cm-3)
   1  60.00 0.4982100E-12 0.2311430E-09 0.1601620E+00
   1  62.00 0.1949820E-11 0.6638500E-09 0.2721750E+00
   1  64.00 0.1480570E-10 0.2773770E-08 0.6171610E+00
   1  66.00 0.2412650E-09 0.1112550E-07 0.1247480E+01
   1  68.00 0.2796220E-08 0.2918430E-07 0.2290340E+01
   1  70.00 0.4351770E-07 0.1906470E-06 0.4834770E+01
   1  72.00 0.1663420E-05 0.8130490E-06 0.7898480E+01
   1  74.00 0.9043170E-05 0.3335810E-05 0.1350980E+02
   1  76.00 0.9477660E-03 0.5455030E-04 0.2159550E+02
   1  78.00 0.8292520E-01 0.1325580E-02 0.2857070E+02
   1  80.00 0.5032120E+00 0.7432350E-02 0.3750770E+02
   1  82.00 0.4804650E+01 0.6556850E-01 0.4930740E+02
   1  84.00 0.1208700E+02 0.3459630E+00 0.5708900E+02
   1  86.00 0.2659650E+02 0.1111850E+01 0.6278210E+02
   1  88.00 0.4315300E+02 0.5370340E+01 0.5744910E+02
   1  90.00 0.5585600E+02 0.1021240E+02 0.4615340E+02
   1  92.00 0.6535760E+02 0.1698240E+02 0.2774570E+02
   1  94.00 0.6929730E+02 0.1750900E+02 0.1392060E+02
   1  96.00 0.6676690E+02 0.1513140E+02 0.5620050E+01
   1  98.00 0.5917750E+02 0.1148910E+02 0.2132580E+01
   1 100.00 0.4788520E+02 0.8262990E+01 0.8163470E+00
   1 102.00 0.3664390E+02 0.5148210E+01 0.2892100E+00
   1 104.00 0.2670170E+02 0.2432260E+01 0.1094250E+00
   1 106.00 0.1911190E+02 0.1136380E+01 0.4527990E-01
   1 108.00 0.1374990E+02 0.5028530E+00 0.1803350E-01
   1 110.00 0.1008980E+02 0.2696590E+00 0.8415600E-02
   1 112.00 0.7491280E+01 0.1405920E+00 0.3423910E-02
   1 114.00 0.5764120E+01 0.8630220E-01 0.1695790E-02
   1 116.00 0.4490730E+01 0.5467760E-01 0.8685350E-03
   1 118.00 0.3551590E+01 0.3511300E-01 0.4017350E-03
   1 120.00 0.2899980E+01 0.2537950E-01 0.2460400E-03
   2  60.00 0.4625340E-12 0.2273150E-09 0.1644930E+00
   2  62.00 0.1834770E-11 0.6384790E-09 0.2788590E+00
   2  64.00 0.1358010E-10 0.2648700E-08 0.6360440E+00
   2  66.00 0.1903940E-09 0.1151860E-07 0.1305230E+01
   2  68.00 0.2020460E-08 0.2984750E-07 0.2356910E+01
   2  70.00 0.3420740E-07 0.2002290E-06 0.4976530E+01
   2  72.00 0.1823450E-05 0.9207100E-06 0.8243880E+01
   2  74.00 0.9914960E-05 0.3526580E-05 0.1392960E+02
   2  76.00 0.9376610E-03 0.5480820E-04 0.2206330E+02
   2  78.00 0.8034060E-01 0.1353730E-02 0.2898510E+02
   2  80.00 0.5077250E+00 0.7356750E-02 0.3774080E+02
   2  82.00 0.4928570E+01 0.6555250E-01 0.4940390E+02
   2  84.00 0.1238080E+02 0.3072530E+00 0.5677300E+02
   2  86.00 0.2693500E+02 0.9381700E+00 0.6188290E+02
   2  88.00 0.4358290E+02 0.4337010E+01 0.5719820E+02
   2  90.00 0.5614740E+02 0.8455460E+01 0.4656730E+02
   2  92.00 0.6519660E+02 0.1474340E+02 0.2896790E+02
   2  94.00 0.6889330E+02 0.1604810E+02 0.1494730E+02
   2  96.00 0.6623100E+02 0.1461760E+02 0.6261450E+01
   2  98.00 0.5849100E+02 0.1156950E+02 0.2456530E+01
   2 100.00 0.4733640E+02 0.8537490E+01 0.9833500E+00
   2 102.00 0.3633210E+02 0.5447820E+01 0.3725310E+00
   2 104.00 0.2668830E+02 0.2620710E+01 0.1525950E+00
   2 106.00 0.1925390E+02 0.1248030E+01 0.6637230E-01
   2 108.00 0.1394070E+02 0.5645750E+00 0.2760350E-01
   2 110.00 0.1026730E+02 0.3061730E+00 0.1301950E-01
   2 112.00 0.7642990E+01 0.1626300E+00 0.5598590E-02
   2 114.00 0.5875590E+01 0.9949020E-01 0.2786740E-02
   2 116.00 0.4575500E+01 0.6329010E-01 0.1453550E-02
   2 118.00 0.3613190E+01 0.4068420E-01 0.6919280E-03
   2 120.00 0.2940250E+01 0.2928940E-01 0.4286300E-03
   3  60.00 0.4307240E-12 0.2220630E-09 0.1685590E+00
   3  62.00 0.1804590E-11 0.6189390E-09 0.2861280E+00
   3  64.00 0.1295160E-10 0.2545260E-08 0.6540410E+00
   3  66.00 0.1771830E-09 0.1192050E-07 0.1361140E+01
   3  68.00 0.1615760E-08 0.3059070E-07 0.2419380E+01
   3  70.00 0.3312630E-07 0.2114450E-06 0.5139420E+01
   3  72.00 0.1946030E-05 0.1042330E-05 0.8599840E+01
   3  74.00 0.1031370E-04 0.3795530E-05 0.1428600E+02
   3  76.00 0.7720750E-03 0.5337090E-04 0.2231380E+02
   3  78.00 0.7942420E-01 0.1414890E-02 0.2924240E+02
   3  80.00 0.5092420E+00 0.7372880E-02 0.3780160E+02
   3  82.00 0.4987010E+01 0.6630050E-01 0.4922070E+02
   3  84.00 0.1265250E+02 0.2863650E+00 0.5633200E+02
   3  86.00 0.2731380E+02 0.8517180E+00 0.6090300E+02
   3  88.00 0.4443710E+02 0.3730200E+01 0.5661360E+02
   3  90.00 0.5682250E+02 0.7405190E+01 0.4639060E+02
   3  92.00 0.6554370E+02 0.1320610E+02 0.2949110E+02
   3  94.00 0.6876690E+02 0.1494010E+02 0.1552290E+02
   3  96.00 0.6582530E+02 0.1415460E+02 0.6713250E+01
   3  98.00 0.5785240E+02 0.1166010E+02 0.2753070E+01
   3 100.00 0.4691940E+02 0.8805560E+01 0.1162270E+01
   3 102.00 0.3623270E+02 0.5754710E+01 0.4667210E+00
   3 104.00 0.2687200E+02 0.2831790E+01 0.1973440E+00
   3 106.00 0.1954940E+02 0.1370790E+01 0.8655050E-01
   3 108.00 0.1419640E+02 0.6282540E+00 0.3676920E-01
   3 110.00 0.1044440E+02 0.3416830E+00 0.1762370E-01
   3 112.00 0.7758850E+01 0.1824500E+00 0.7846190E-02
   3 114.00 0.5941510E+01 0.1120880E+00 0.4040500E-02
   3 116.00 0.4606500E+01 0.7085030E-01 0.2130010E-02
   3 118.00 0.3626750E+01 0.4556870E-01 0.1054280E-02
   3 120.00 0.2935650E+01 0.3258540E-01 0.6489120E-03
   4  60.00 0.2066160E-10 0.4792530E-07 0.1607050E+00
   4  62.00 0.4829710E-10 0.1295400E-06 0.2726810E+00
   4  64.00 0.2326850E-09 0.6729850E-06 0.6195180E+00
   4  66.00 0.1246160E-08 0.2298290E-05 0.1306860E+01
   4  68.00 0.5126770E-08 0.7344340E-05 0.2270970E+01
   4  70.00 0.6224470E-07 0.3450990E-04 0.4843560E+01
   4  72.00 0.1899600E-05 0.1138960E-03 0.8026040E+01
   4  74.00 0.1132600E-04 0.5974290E-03 0.1291600E+02
   4  76.00 0.8148300E-03 0.6368250E-02 0.1985740E+02
   4  78.00 0.8485830E-01 0.2497030E+00 0.2656860E+02
   4  80.00 0.5323860E+00 0.8377690E+00 0.3577730E+02
   4  82.00 0.5179450E+01 0.4014170E+01 0.4441920E+02
   4  84.00 0.1313660E+02 0.6852410E+01 0.4908650E+02
   4  86.00 0.2823290E+02 0.9560590E+01 0.5147600E+02
   4  88.00 0.4596950E+02 0.1201290E+02 0.4742580E+02
   4  90.00 0.5849010E+02 0.1377340E+02 0.3914020E+02
   4  92.00 0.6738650E+02 0.1662020E+02 0.2533100E+02
   4  94.00 0.7006860E+02 0.1662180E+02 0.1367220E+02
   4  96.00 0.6655180E+02 0.1507690E+02 0.6022870E+01
   4  98.00 0.5814240E+02 0.1241480E+02 0.2571700E+01
   4 100.00 0.4730420E+02 0.9457340E+01 0.1111680E+01
   4 102.00 0.3691050E+02 0.6361220E+01 0.4533550E+00
   4 104.00 0.2756660E+02 0.3239000E+01 0.1953180E+00
   4 106.00 0.2010850E+02 0.1588980E+01 0.8706070E-01
   4 108.00 0.1458790E+02 0.7349070E+00 0.3879330E-01
   4 110.00 0.1067440E+02 0.3951690E+00 0.1889860E-01
   4 112.00 0.7888770E+01 0.2095900E+00 0.8749610E-02
   4 114.00 0.6001790E+01 0.1279050E+00 0.4589850E-02
   4 116.00 0.4621540E+01 0.7976700E-01 0.2418010E-02
   4 118.00 0.3626390E+01 0.5155200E-01 0.1242300E-02
