Figure 11: Seasonal/latitudinal variations of the column abundances of AlO, AlOH and Al+ 
(units: 10^7 cm-2 ), averaged over 2004-2014
 Month, Latitude, Al+,AlO,AlOH (10^7 cm-2)
   1 -90.00 0.3120980E+02 0.3272170E+01 0.1474390E+01
   1 -88.11 0.3126440E+02 0.3254150E+01 0.1487430E+01
   1 -86.21 0.3141910E+02 0.3219170E+01 0.1518830E+01
   1 -84.32 0.3167620E+02 0.3213440E+01 0.1559060E+01
   1 -82.42 0.3204410E+02 0.3245160E+01 0.1605960E+01
   1 -80.53 0.3250230E+02 0.3307190E+01 0.1659650E+01
   1 -78.63 0.3304940E+02 0.3393050E+01 0.1721210E+01
   1 -76.74 0.3366850E+02 0.3492950E+01 0.1797920E+01
   1 -74.84 0.3435560E+02 0.3600150E+01 0.1887400E+01
   1 -72.95 0.3507660E+02 0.3712190E+01 0.1990480E+01
   1 -71.05 0.3581900E+02 0.3831080E+01 0.2098600E+01
   1 -69.16 0.3653220E+02 0.3951180E+01 0.2208370E+01
   1 -67.26 0.3719840E+02 0.4074540E+01 0.2311900E+01
   1 -65.37 0.3781980E+02 0.4207760E+01 0.2413280E+01
   1 -63.47 0.3831460E+02 0.4289120E+01 0.2580080E+01
   1 -61.58 0.3868620E+02 0.4331950E+01 0.2801260E+01
   1 -59.68 0.3890300E+02 0.4314370E+01 0.3087750E+01
   1 -57.79 0.3893580E+02 0.4306060E+01 0.3350770E+01
   1 -55.89 0.3878660E+02 0.4316230E+01 0.3579330E+01
   1 -54.00 0.3842470E+02 0.4336590E+01 0.3786360E+01
   1 -52.11 0.3791400E+02 0.4357180E+01 0.3977090E+01
   1 -50.21 0.3732440E+02 0.4380610E+01 0.4147570E+01
   1 -48.32 0.3669490E+02 0.4402410E+01 0.4303220E+01
   1 -46.42 0.3606370E+02 0.4431410E+01 0.4433550E+01
   1 -44.53 0.3544460E+02 0.4472310E+01 0.4543120E+01
   1 -42.63 0.3483910E+02 0.4523090E+01 0.4631490E+01
   1 -40.74 0.3424700E+02 0.4580750E+01 0.4704900E+01
   1 -38.84 0.3366310E+02 0.4641930E+01 0.4765800E+01
   1 -36.95 0.3306960E+02 0.4692770E+01 0.4827130E+01
   1 -35.05 0.3246330E+02 0.4731870E+01 0.4884170E+01
   1 -33.16 0.3184890E+02 0.4764450E+01 0.4918870E+01
   1 -31.26 0.3123240E+02 0.4778270E+01 0.4951650E+01
   1 -29.37 0.3062760E+02 0.4776270E+01 0.4975060E+01
   1 -27.47 0.3003660E+02 0.4760950E+01 0.4992080E+01
   1 -25.58 0.2946350E+02 0.4732800E+01 0.5000680E+01
   1 -23.68 0.2890590E+02 0.4686530E+01 0.5009900E+01
   1 -21.79 0.2835530E+02 0.4638040E+01 0.4999340E+01
   1 -19.89 0.2781300E+02 0.4568570E+01 0.5002690E+01
   1 -18.00 0.2727790E+02 0.4505820E+01 0.4979060E+01
   1 -16.11 0.2675360E+02 0.4433280E+01 0.4969700E+01
   1 -14.21 0.2622520E+02 0.4371360E+01 0.4943430E+01
   1 -12.32 0.2568720E+02 0.4306690E+01 0.4931340E+01
   1 -10.42 0.2514270E+02 0.4235450E+01 0.4942240E+01
   1  -8.53 0.2458610E+02 0.4197180E+01 0.4914190E+01
   1  -6.63 0.2401760E+02 0.4148360E+01 0.4924090E+01
   1  -4.74 0.2344600E+02 0.4092890E+01 0.4963840E+01
   1  -2.84 0.2287400E+02 0.4079730E+01 0.4957610E+01
   1  -0.95 0.2231680E+02 0.4079820E+01 0.4957180E+01
   1   0.95 0.2178410E+02 0.4037880E+01 0.5044150E+01
   1   2.84 0.2127880E+02 0.4058290E+01 0.5052610E+01
   1   4.74 0.2080460E+02 0.4096840E+01 0.5061660E+01
   1   6.63 0.2035420E+02 0.4124550E+01 0.5115890E+01
   1   8.53 0.1992430E+02 0.4172430E+01 0.5165140E+01
   1  10.42 0.1950510E+02 0.4259280E+01 0.5176720E+01
   1  12.32 0.1908740E+02 0.4352160E+01 0.5197660E+01
   1  14.21 0.1866370E+02 0.4424810E+01 0.5268450E+01
   1  16.11 0.1822780E+02 0.4517880E+01 0.5321250E+01
   1  18.00 0.1777900E+02 0.4625280E+01 0.5363900E+01
   1  19.89 0.1731290E+02 0.4699330E+01 0.5463980E+01
   1  21.79 0.1683140E+02 0.4776640E+01 0.5561620E+01
   1  23.68 0.1633420E+02 0.4849710E+01 0.5666550E+01
   1  25.58 0.1583050E+02 0.4902400E+01 0.5805360E+01
   1  27.47 0.1533280E+02 0.4962970E+01 0.5936140E+01
   1  29.37 0.1486920E+02 0.5025670E+01 0.6069070E+01
   1  31.26 0.1443200E+02 0.5068130E+01 0.6236660E+01
   1  33.16 0.1401940E+02 0.5123940E+01 0.6380600E+01
   1  35.05 0.1363340E+02 0.5168010E+01 0.6534410E+01
   1  36.95 0.1328170E+02 0.5201810E+01 0.6697390E+01
   1  38.84 0.1298170E+02 0.5246150E+01 0.6849240E+01
   1  40.74 0.1272600E+02 0.5276980E+01 0.7022300E+01
   1  42.63 0.1250210E+02 0.5318010E+01 0.7178980E+01
   1  44.53 0.1230100E+02 0.5338410E+01 0.7352100E+01
   1  46.42 0.1211800E+02 0.5362970E+01 0.7490720E+01
   1  48.32 0.1195820E+02 0.5364230E+01 0.7633430E+01
   1  50.21 0.1182810E+02 0.5363090E+01 0.7750600E+01
   1  52.11 0.1171550E+02 0.5345040E+01 0.7852720E+01
   1  54.00 0.1161990E+02 0.5304710E+01 0.7943150E+01
   1  55.89 0.1154820E+02 0.5249740E+01 0.8011530E+01
   1  57.79 0.1149920E+02 0.5171900E+01 0.8071430E+01
   1  59.68 0.1146740E+02 0.5073500E+01 0.8119390E+01
   1  61.58 0.1145440E+02 0.4954740E+01 0.8170310E+01
   1  63.47 0.1145160E+02 0.4819130E+01 0.8224500E+01
   1  65.37 0.1145850E+02 0.4664860E+01 0.8280490E+01
   1  67.26 0.1148170E+02 0.4474890E+01 0.8353500E+01
   1  69.16 0.1151780E+02 0.4247750E+01 0.8461830E+01
   1  71.05 0.1155660E+02 0.3987230E+01 0.8634120E+01
   1  72.95 0.1157270E+02 0.3674550E+01 0.8943990E+01
   1  74.84 0.1154130E+02 0.3177870E+01 0.9622950E+01
   1  76.74 0.1147850E+02 0.2761880E+01 0.1026970E+02
   1  78.63 0.1140900E+02 0.2466280E+01 0.1076540E+02
   1  80.53 0.1136140E+02 0.2341360E+01 0.1099120E+02
   1  82.42 0.1132980E+02 0.2301390E+01 0.1107970E+02
   1  84.32 0.1130920E+02 0.2284860E+01 0.1113900E+02
   1  86.21 0.1130400E+02 0.2279590E+01 0.1117210E+02
   1  88.11 0.1130570E+02 0.2278990E+01 0.1119140E+02
   1  90.00 0.1129850E+02 0.2278390E+01 0.1119310E+02
   2 -90.00 0.3712250E+02 0.9668130E+01 0.2404260E+01
   2 -88.11 0.3712970E+02 0.9621870E+01 0.2421850E+01
   2 -86.21 0.3712320E+02 0.9503920E+01 0.2468790E+01
   2 -84.32 0.3711400E+02 0.9407880E+01 0.2521820E+01
   2 -82.42 0.3705180E+02 0.9334090E+01 0.2586880E+01
   2 -80.53 0.3692220E+02 0.9272740E+01 0.2665840E+01
   2 -78.63 0.3672350E+02 0.9212430E+01 0.2752600E+01
   2 -76.74 0.3646060E+02 0.9134610E+01 0.2844940E+01
   2 -74.84 0.3613380E+02 0.9032000E+01 0.2936860E+01
   2 -72.95 0.3569560E+02 0.8779660E+01 0.3149430E+01
   2 -71.05 0.3526360E+02 0.8428960E+01 0.3438400E+01
   2 -69.16 0.3484330E+02 0.8018450E+01 0.3764850E+01
   2 -67.26 0.3442850E+02 0.7583510E+01 0.4101850E+01
   2 -65.37 0.3407170E+02 0.7166720E+01 0.4427560E+01
   2 -63.47 0.3374150E+02 0.6822460E+01 0.4677230E+01
   2 -61.58 0.3349170E+02 0.6550950E+01 0.4862030E+01
   2 -59.68 0.3326940E+02 0.6324780E+01 0.4997300E+01
   2 -57.79 0.3303760E+02 0.6133140E+01 0.5092320E+01
   2 -55.89 0.3275930E+02 0.5969170E+01 0.5159150E+01
   2 -54.00 0.3242840E+02 0.5830480E+01 0.5204640E+01
   2 -52.11 0.3205820E+02 0.5712090E+01 0.5226100E+01
   2 -50.21 0.3166990E+02 0.5606650E+01 0.5233490E+01
   2 -48.32 0.3126990E+02 0.5517350E+01 0.5223200E+01
   2 -46.42 0.3086790E+02 0.5442170E+01 0.5208060E+01
   2 -44.53 0.3048250E+02 0.5389010E+01 0.5186160E+01
   2 -42.63 0.3009640E+02 0.5351150E+01 0.5165630E+01
   2 -40.74 0.2970420E+02 0.5323280E+01 0.5146670E+01
   2 -38.84 0.2929300E+02 0.5297640E+01 0.5135250E+01
   2 -36.95 0.2885260E+02 0.5273080E+01 0.5123650E+01
   2 -35.05 0.2839560E+02 0.5239390E+01 0.5122660E+01
   2 -33.16 0.2792710E+02 0.5199470E+01 0.5119240E+01
   2 -31.26 0.2745100E+02 0.5148920E+01 0.5117100E+01
   2 -29.37 0.2696850E+02 0.5093040E+01 0.5103620E+01
   2 -27.47 0.2649550E+02 0.5022520E+01 0.5096330E+01
   2 -25.58 0.2604240E+02 0.4943600E+01 0.5084990E+01
   2 -23.68 0.2561390E+02 0.4860460E+01 0.5069200E+01
   2 -21.79 0.2520990E+02 0.4769890E+01 0.5055680E+01
   2 -19.89 0.2483630E+02 0.4681410E+01 0.5032320E+01
   2 -18.00 0.2449190E+02 0.4593790E+01 0.5005280E+01
   2 -16.11 0.2417410E+02 0.4501560E+01 0.4990700E+01
   2 -14.21 0.2386260E+02 0.4412140E+01 0.4979500E+01
   2 -12.32 0.2354340E+02 0.4333160E+01 0.4963330E+01
   2 -10.42 0.2321440E+02 0.4258540E+01 0.4956110E+01
   2  -8.53 0.2287160E+02 0.4184990E+01 0.4959730E+01
   2  -6.63 0.2250350E+02 0.4131080E+01 0.4949310E+01
   2  -4.74 0.2210400E+02 0.4091020E+01 0.4936960E+01
   2  -2.84 0.2168260E+02 0.4063970E+01 0.4933840E+01
   2  -0.95 0.2123350E+02 0.4011960E+01 0.4988200E+01
   2   0.95 0.2076370E+02 0.3987870E+01 0.5016710E+01
   2   2.84 0.2027890E+02 0.3991780E+01 0.5017420E+01
   2   4.74 0.1978900E+02 0.4009100E+01 0.5016600E+01
   2   6.63 0.1930110E+02 0.4037490E+01 0.5016410E+01
   2   8.53 0.1881700E+02 0.4062840E+01 0.5039760E+01
   2  10.42 0.1833510E+02 0.4095710E+01 0.5069390E+01
   2  12.32 0.1784930E+02 0.4141780E+01 0.5092760E+01
   2  14.21 0.1735220E+02 0.4194360E+01 0.5116430E+01
   2  16.11 0.1683860E+02 0.4245760E+01 0.5146310E+01
   2  18.00 0.1631080E+02 0.4287990E+01 0.5194140E+01
   2  19.89 0.1576880E+02 0.4328090E+01 0.5245590E+01
   2  21.79 0.1521880E+02 0.4361910E+01 0.5303710E+01
   2  23.68 0.1467560E+02 0.4391120E+01 0.5368800E+01
   2  25.58 0.1416090E+02 0.4410030E+01 0.5452060E+01
   2  27.47 0.1367370E+02 0.4427060E+01 0.5543460E+01
   2  29.37 0.1321050E+02 0.4446410E+01 0.5640080E+01
   2  31.26 0.1277230E+02 0.4466540E+01 0.5742510E+01
   2  33.16 0.1236750E+02 0.4480670E+01 0.5857670E+01
   2  35.05 0.1199460E+02 0.4493860E+01 0.5976190E+01
   2  36.95 0.1165260E+02 0.4510290E+01 0.6099600E+01
   2  38.84 0.1135740E+02 0.4534510E+01 0.6230310E+01
   2  40.74 0.1111890E+02 0.4565410E+01 0.6372510E+01
   2  42.63 0.1093150E+02 0.4608540E+01 0.6513460E+01
   2  44.53 0.1078930E+02 0.4660450E+01 0.6653070E+01
   2  46.42 0.1067910E+02 0.4712390E+01 0.6792870E+01
   2  48.32 0.1059000E+02 0.4765160E+01 0.6923040E+01
   2  50.21 0.1051170E+02 0.4815310E+01 0.7042290E+01
   2  52.11 0.1044170E+02 0.4851370E+01 0.7147910E+01
