Figure S4: Diurnal variation of the vertical column densities of AlO, AlOH and Al+ 
at 54N,12E averaged over 2004-2014
Time(hour), solar zneith angle, Al+,AlO and AlOH (10^7cm-2)
   1 124.54 0.1682850E+02 0.2285940E+01 0.9828910E+01
   2 120.87 0.1681720E+02 0.2187620E+01 0.9867200E+01
   3 115.13 0.1692800E+02 0.2569780E+01 0.9323990E+01
   4 107.82 0.1713330E+02 0.3197500E+01 0.8570540E+01
   5  99.75 0.1729130E+02 0.3988860E+01 0.7659400E+01
   6  91.22 0.1734060E+02 0.4923330E+01 0.6451590E+01
   7  82.49 0.1722450E+02 0.6007380E+01 0.4844860E+01
   8  74.19 0.1712900E+02 0.7353530E+01 0.2754560E+01
   9  66.61 0.1715420E+02 0.7393090E+01 0.2785800E+01
  10  60.15 0.1730980E+02 0.7346620E+01 0.2949540E+01
  11  55.66 0.1758510E+02 0.7323210E+01 0.3109130E+01
  12  53.68 0.1799110E+02 0.7365880E+01 0.3249840E+01
  13  54.65 0.1840930E+02 0.7483170E+01 0.3363970E+01
  14  58.35 0.1864050E+02 0.7612850E+01 0.3433930E+01
  15  64.14 0.1858940E+02 0.7694280E+01 0.3438980E+01
  16  71.49 0.1835850E+02 0.7781280E+01 0.3399710E+01
  17  79.60 0.1810150E+02 0.7513350E+01 0.4007700E+01
  18  88.14 0.1781320E+02 0.6614880E+01 0.5408440E+01
  19  96.89 0.1758660E+02 0.5684280E+01 0.6590720E+01
  20 105.17 0.1742350E+02 0.4764790E+01 0.7590010E+01
  21 112.73 0.1733550E+02 0.3925800E+01 0.8429030E+01
  22 119.15 0.1719590E+02 0.3095130E+01 0.9277050E+01
  23 123.59 0.1702950E+02 0.2686390E+01 0.9598240E+01
  24 125.52 0.1690550E+02 0.2441760E+01 0.9750690E+01
